start|end|text
3.76|6.62|This is May the 3rd, 1986.
8.19|15.39|I'm going to make another attempt at re-taping the years of my life.
16.74|24.99|I've made two or three swings at it now, but invariably something goes wrong had I get nowhere with it.
25.01|33.6|So now I have all the various pieces of tape numbered, and there's going to be about
35.11|64.5|two hours of recording. So as I go along there'll be errors and omissions and there'll be blank spaces etc. but just bear with me and in the long run we'll hope you you'll get a pretty good picture of what L.H.A went through in his 85 years - or going on to 85 years of life. So right now
65.35|74.44|I'm going to start back when I was a boy and we left the state of Iowa.
76.61|85.39|And then from there, just a running story of what I remember, the highlights that I remember.
86.82|94.8|And they're not necessarily in good chronological order, but I think you'll be able to follow the story.
96.67|101.16|Forgive me for all the errors, omissions, etc.
103.28|114.38|So right now we'll turn back and start from about as far back as I can remember.
114.42|117.9|You'll note a great change in voice from time to time.
118.4|125.85|This goes back five or six years from when I first started on this. And,
126.9|131.63|you'll find times when my voice is foggy from cold.
133.35|138.4|Five years older, your voice gets a different pitch to it.
138.42|142.71|So you'll understand what it's all about, I'm sure.
142.73|146.05|So we'll just turn back now and start taping.
160.44|165.23|It would seem that I have the distance about 12 inches from the mic.
165.99|168.81|The voice comes out clearer on the replay.
171.74|175.08|I'm going to do some experimenting.
178.43|180.91|My first experience at speaking into a mic.
182.33|186.96|I'm going to do some experimenting and I've been asked to...
187.56|189.98|I've been asked by my family to give a
190.38|204.78|history of my life and I'll do so and whatever comes out must be it. So, we'll let it go at that.
204.78|216.51|- be a long drawn-out affair as my memory goes back to the year 1907 when
217.35|230.38|I was a small boy of four and a half years old, and we moved up into Canada from Iowa.
230.41|247.17|Whatever possessed my dad to leave that rich farmland down around Sioux City, Iowa, and move up into the frozen, rocky prairies, I will never know. However,
247.72|258.57|he had a family of 12 children, and he seemed to think that if he got up where land was cheap -
259.45|262.96|Prairie was selling at about $20 to $25 an acre.
264.98|267.12|He had the eight sons at the time.
268.1|277.17|The idea was for each one of them to get a quarter section of land and become a farmer, which was a way of life at that time.
288.09|294.95|We landed up at Halbrite the 17th day of March.
299.06|315.51|I don't have any recollection of our arriving at our destination, but I do remember living in a small town hotel for two or three days while they loaded the carloads of -
317.48|323.07|of livestock and machinery.
323.09|333.69|And then I very vividly remember the ride out to the farm which was six miles north of town.
333.71|341.66|That incidentally was the winter of the big snow and there was over three foot of snow on the level throughout the prairies.
343.94|346.65|And I well remember the
